Gene	PolyAHL	HL	UWCounts	UWFrac
YKR046C	4.9	32.8	34	0.119718309859
YJR005W	4.4	7.5	106	0.151212553495
YJL116C	11.3	24.1	62	0.183431952663
YMR030W	15.3	16.1	72	0.190981432361
YER030W	5.7	20.5	20	0.12987012987
YIR026C	4.0	7.9	48	0.131506849315
YJR072C	4.8	12.9	39	0.10103626943
YGL003C	7.8	14.7	105	0.185185185185
YDR268W	2.4	4.5	62	0.163157894737
YGL192W	6.6	8.4	105	0.174708818636
YDL117W	2.0	3.4	154	0.17381489842
YMR131C	2.5	5.6	83	0.162109375
YIL105C	10.7	24.9	113	0.164483260553
YML126C	3.2	27.0	88	0.178861788618
YLR189C	10.8	30.2	210	0.175145954962
YIL150C	1.7	2.4	81	0.141608391608
YBR212W	8.0	38.5	114	0.169390787519
YJR109C	1.4	32.1	211	0.188561215371
YCR044C	2.4	4.9	49	0.13687150838
YLR254C	4.5	6.5	22	0.115789473684
YGR085C	3.1	12.5	27	0.154285714286
YPL105C	4.3	13.8	147	0.172941176471
YGR145W	2.3	6.2	130	0.183615819209
YGL154C	5.1	9.2	46	0.168498168498
YBR129C	2.4	4.6	62	0.188449848024
YJR123W	3.3	16.1	29	0.128318584071
YKL099C	2.4	4.0	31	0.123505976096
YDR315C	3.3	8.7	56	0.198581560284
YNL104C	4.3	17.1	116	0.187096774194
YNL151C	1.8	3.1	40	0.15873015873
YLR220W	4.5	6.5	55	0.170278637771
YNL083W	11.1	23.7	90	0.181818181818
YMR238W	2.0	4.5	92	0.200435729847
YER168C	2.8	5.2	91	0.166361974406
YOR227W	8.3	16.2	245	0.196471531676
YOR081C	2.7	6.2	114	0.152
YEL026W	3.3	11.3	22	0.173228346457
YDR021W	1.9	3.2	67	0.1675
YGL063W	2.1	2.7	44	0.118598382749
YPL212C	1.1	2.5	86	0.157798165138
YPR095C	3.6	4.9	255	0.20782396088
YOR310C	1.9	4.3	87	0.169921875
YDR188W	2.2	8.1	57	0.104204753199
YAL027W	2.5	4.8	42	0.160305343511
YGL236C	0.9	2.5	70	0.10447761194
YDR017C	2.2	4.8	207	0.196955280685
YIL090W	1.9	3.3	98	0.19918699187
YBR183W	4.0	7.1	50	0.157728706625
YOL048C	6.0	5.1	59	0.172011661808
YDR016C	4.9	5.5	12	0.126315789474
YEL004W	4.4	8.2	66	0.192419825073
YDR116C	4.3	5.7	42	0.146853146853
YDR122W	11.3	37.6	181	0.169953051643
YOL062C	3.7	6.7	79	0.160569105691
YNL234W	5.4	13.8	85	0.19906323185
YJL194W	1.1	2.6	76	0.147859922179
YOL015W	5.3	11.9	108	0.18398637138
YDL070W	1.9	3.1	127	0.198748043818
YOR241W	2.2	4.7	83	0.151183970856
YLR056W	1.8	3.8	55	0.150273224044
YMR054W	3.7	6.9	153	0.171717171717
YKL110C	5.4	9.1	52	0.165605095541
YNL255C	2.4	5.2	33	0.214285714286
YLR204W	3.6	4.5	13	0.116071428571
YHR193C	6.2	22.9	20	0.114285714286
YBL099W	4.0	34.8	97	0.177655677656
YJR035W	3.8	6.6	176	0.162062615101
YOR126C	3.4	4.7	34	0.142259414226
YGL027C	4.4	22.4	135	0.161870503597
YNL187W	3.6	5.6	44	0.122905027933
YCL045C	3.8	12.7	152	0.199737187911
YPR115W	6.4	38.5	197	0.181734317343
YHR088W	3.4	5.8	45	0.152027027027
YDL161W	4.5	9.7	51	0.112087912088
YJR055W	1.1	0.8	33	0.2
YGL099W	1.7	6.8	112	0.17472698908
YFL030W	4.6	10.5	52	0.134715025907
YPL193W	2.3	5.0	63	0.164921465969
YNL005C	4.3	9.3	72	0.193548387097
YJR139C	6.7	58.0	75	0.208333333333
YBR133C	3.7	7.1	133	0.160628019324
YBR162C	3.4	21.5	99	0.217105263158
YGR260W	2.2	3.6	105	0.196261682243
YJL079C	4.7	15.4	56	0.186666666667
YGL019W	3.8	10.1	28	0.100358422939
YNL172W	3.4	6.8	341	0.194968553459
YPL160W	2.6	48.0	193	0.17690192484
YNL023C	4.0	16.1	174	0.180124223602
YIL126W	1.9	7.5	229	0.168382352941
YLR295C	3.7	7.7	18	0.144
YHR168W	2.1	3.7	61	0.11753371869
YOR064C	3.4	4.2	39	0.177272727273
YOR130C	2.3	4.5	50	0.170648464164
YGL148W	3.7	9.7	39	0.103448275862
YBR282W	4.2	8.3	25	0.170068027211
YDR194C	4.1	4.4	134	0.201503759398
YGR084C	2.7	4.1	44	0.129411764706
YNR030W	4.0	10.3	107	0.19384057971
YDR466W	5.2	11.2	171	0.19021134594
YIL002C	4.8	14.5	169	0.178458289335
YGR159C	0.9	2.8	77	0.185542168675
YLR369W	4.3	6.4	113	0.171732522796
YGL228W	4.9	8.3	84	0.145328719723
YJR117W	15.6	26.9	78	0.171806167401
YLR357W	3.7	4.0	133	0.149438202247
YER127W	1.5	2.7	54	0.150837988827
YBL015W	4.0	9.7	71	0.134724857685
YLR017W	3.7	7.5	59	0.174556213018
YHR110W	5.0	10.9	24	0.112676056338
YBR041W	6.1	6.8	138	0.205970149254
YDL039C	2.8	3.9	173	0.247496423462
YOR264W	3.6	5.2	66	0.15313225058
YBL029C-A	4.1	7.2	18	0.189473684211
YGL173C	4.3	24.0	290	0.189666448659
YAR015W	2.9	5.2	41	0.133550488599
YOR384W	6.3	9.6	91	0.130935251799
YDR427W	6.9	44.8	75	0.190355329949
YLR079W	3.5	3.8	33	0.115789473684
YLR408C	6.0	5.8	15	0.121951219512
YMR093W	0.9	1.8	97	0.188715953307
YKR066C	10.3	41.6	45	0.124309392265
YDR079W	3.7	5.7	20	0.178571428571
YPR072W	4.3	9.7	88	0.156862745098
YER062C	2.5	11.6	33	0.131474103586
YDR244W	11.1	27.3	98	0.15986949429
YDL137W	5.9	11.6	28	0.153846153846
YGR271W	5.3	43.7	359	0.182418699187
YDR233C	3.0	6.7	50	0.168918918919
YCR106W	2.9	3.1	153	0.183673469388
YER109C	1.2	3.4	165	0.20625
YDR489W	3.8	14.6	51	0.172881355932
YPR049C	3.6	7.1	221	0.187446988974
YPL235W	4.0	7.1	84	0.177966101695
YBL087C	4.8	30.1	21	0.152173913043
YGL190C	6.5	6.7	115	0.218216318786
YBR110W	2.3	4.8	76	0.168888888889
YDR144C	1.8	3.7	125	0.209380234506
YOR103C	4.5	5.9	32	0.24427480916
YKL137W	3.8	4.8	15	0.133928571429
YDR447C	4.3	16.2	24	0.175182481752
YPR145W	1.7	4.4	91	0.158813263525
YJL063C	2.6	4.9	21	0.0878661087866
YMR149W	4.1	6.9	40	0.1393728223
YIR010W	4.4	6.3	70	0.121317157712
YDR331W	3.5	4.4	74	0.179611650485
YKR044W	2.4	4.3	52	0.117117117117
YLR433C	2.8	8.6	94	0.169675090253
YMR068W	7.2	10.2	55	0.128805620609
YNL164C	1.0	1.6	56	0.159090909091
YER032W	3.3	3.6	150	0.171037628278
YJR070C	2.0	3.6	34	0.104294478528
YGL005C	3.9	5.4	50	0.178571428571
YIR024C	2.8	6.1	25	0.115207373272
YDL111C	2.1	4.4	45	0.169172932331
YKL159C	4.9	14.2	36	0.169811320755
YDR507C	2.1	4.9	178	0.155730533683
YLR138W	3.3	5.6	150	0.152129817444
YJL158C	2.4	9.5	44	0.19298245614
YBR245C	2.1	15.6	185	0.163716814159
YBR210W	4.8	5.9	23	0.160839160839
YIL103W	2.1	2.6	73	0.171361502347
YJR096W	16.3	36.6	46	0.162544169611
YAL010C	2.3	5.8	100	0.202429149798
YGR143W	3.9	6.4	166	0.215025906736
YGR112W	3.6	6.3	47	0.120512820513
YLR256W	2.8	10.1	272	0.180971390552
YLR192C	5.2	10.0	37	0.139097744361
YDL213C	4.1	8.0	22	0.0973451327434
YMR230W	5.0	28.8	13	0.122641509434
YLR321C	2.3	3.8	59	0.138173302108
YBR004C	1.1	2.4	98	0.225806451613
YJR161C	2.5	19.6	66	0.171875
YOR278W	4.3	8.1	53	0.192028985507
YGL061C	2.3	2.3	43	0.173387096774
YPL210C	3.4	6.7	103	0.160686427457
YOR087W	2.6	4.2	121	0.17899408284
YGL234W	3.1	49.9	115	0.143212951432
YPR093C	8.1	23.3	38	0.131487889273
YAL029C	3.1	22.0	219	0.148777173913
YOL155C	6.2	6.5	207	0.213842975207
YDR421W	4.3	21.7	156	0.16403785489
YGR186W	4.9	13.8	107	0.145380434783
YHR135C	3.4	5.7	69	0.128014842301
YBR181C	3.7	21.3	25	0.105485232068
YOR078W	1.3	2.5	24	0.111627906977
YOR243C	1.2	3.4	132	0.194977843427
YMR165C	7.5	27.6	140	0.162224797219
YCR005C	2.1	3.6	72	0.156182212581
YMR005W	4.1	10.2	70	0.179948586118
YHR037W	4.6	16.4	90	0.15625
YLR032W	3.7	12.5	209	0.178632478632
YOL060C	4.9	12.8	107	0.151343705799
YNL232W	2.2	4.2	45	0.153583617747
YDL076C	2.8	3.7	57	0.193220338983
YDR120C	1.4	3.1	92	0.16112084063
YJL192C	4.2	8.8	45	0.191489361702
YLR009W	1.3	2.5	29	0.145
YDR063W	6.5	11.4	19	0.126666666667
YLR105C	2.1	3.9	50	0.132275132275
YML091C	6.3	5.8	239	0.198669991687
YDL098C	1.9	5.0	33	0.169230769231
YMR143W	5.0	20.9	29	0.201388888889
YCR063W	1.2	3.0	10	0.0632911392405
YNL189W	9.2	58.9	98	0.180478821363
YCL047C	4.9	12.1	33	0.127413127413
YGL122C	1.9	5.9	66	0.125475285171
YDL018C	4.8	12.9	34	0.150442477876
YBL060W	3.4	5.0	130	0.188953488372
YKL056C	5.1	23.9	24	0.142857142857
YJR057W	2.9	5.6	36	0.165898617512
YLR377C	8.2	17.6	44	0.126074498567
YAL059W	1.1	2.1	35	0.164319248826
YJR137C	4.1	28.6	285	0.197505197505
YMR074C	4.8	15.1	24	0.164383561644
YDR378C	3.5	7.8	17	0.195402298851
YOR104W	2.2	3.8	63	0.222614840989
YFL009W	3.9	7.5	164	0.210256410256
YLR297W	18.4	8.6	18	0.138461538462
YIL120W	6.1	18.0	109	0.193262411348
YNL021W	1.3	6.3	126	0.178217821782
YGR095C	2.7	4.2	30	0.133928571429
YOR066W	4.2	4.7	106	0.168253968254
YAL033W	2.0	4.2	22	0.126436781609
YNR049C	4.7	5.6	38	0.18009478673
YOL112W	2.7	3.4	74	0.150101419878
YOL083W	9.6	20.3	69	0.167070217918
YBL004W	2.6	10.6	508	0.203688853248
YBR164C	3.1	6.4	36	0.195652173913
YHR074W	4.6	22.4	106	0.148251748252
YDR464W	2.7	5.5	207	0.144150417827
YFR030W	4.0	41.5	177	0.170849420849
YJL146W	10.3	12.9	84	0.178723404255
YKL078W	0.8	1.8	124	0.16847826087
YPL053C	2.9	6.4	88	0.196868008949
YLR351C	6.3	22.4	35	0.119863013699
YIL030C	2.7	7.5	263	0.199242424242
YER125W	4.6	20.6	148	0.182716049383
YER152C	4.5	23.3	45	0.101351351351
YLR015W	2.0	4.3	69	0.136363636364
YHR116W	3.9	8.8	18	0.118421052632
YPL259C	4.0	5.3	88	0.18487394958
YDL037C	2.7	5.1	112	0.340425531915
YHL043W	6.8	8.9	35	0.204678362573
YPR198W	3.4	8.1	100	0.183823529412
YDR425W	24.6	38.6	115	0.183706070288
YML076C	2.5	3.9	178	0.18835978836
YKR060W	1.1	1.4	45	0.163636363636
YHR094C	1.9	3.6	119	0.208406304729
YER069W	1.9	13.4	156	0.180555555556
YER012W	4.6	8.5	32	0.160804020101
YHR098C	3.5	13.8	175	0.188172043011
YDL135C	4.6	18.0	29	0.142857142857
YCR093W	8.9	46.7	372	0.176386913229
YBR069C	3.7	5.5	90	0.145161290323
YGR077C	4.3	7.7	99	0.167796610169
YDR512C	4.8	10.3	35	0.186170212766
YGR255C	7.8	16.8	91	0.189583333333
YDL051W	3.3	10.4	34	0.123188405797
YBL102W	4.3	8.5	35	0.162037037037
YLR120C	2.3	6.0	127	0.222807017544
YNL068C	2.0	5.5	157	0.181923522596
YJR080C	2.6	4.4	69	0.174683544304
YDR146C	3.7	3.9	129	0.181690140845
YBR112C	2.5	8.2	117	0.120992761117
YNL326C	2.0	2.7	62	0.183976261128
YDR337W	3.4	4.7	44	0.15331010453
YJL061W	2.3	5.6	131	0.183473389356
YDR441C	2.2	4.1	22	0.120879120879
YPL094C	2.6	4.9	36	0.130909090909
YOR101W	1.4	2.4	58	0.187096774194
YER020W	3.7	6.5	45	0.1
YDR231C	4.1	6.9	23	0.111650485437
YJL112W	4.3	6.4	110	0.153846153846
YML058W	4.7	10.3	17	0.161904761905
YBR188C	2.3	5.1	19	0.13475177305
YLR435W	1.2	2.0	25	0.121359223301
YJR076C	3.7	7.9	50	0.120192307692
YBR003W	6.6	7.9	71	0.149789029536
YOL140W	1.2	3.6	74	0.174528301887
YPR129W	4.6	6.8	50	0.142857142857
YDL113C	7.9	25.1	112	0.17472698908
YMR135C	6.4	10.3	68	0.149122807018
YBR247C	1.6	3.4	78	0.161157024793
YLR185W	4.4	38.1	22	0.247191011236
YJL210W	2.7	5.3	37	0.136029411765
YKL004W	1.3	3.7	83	0.206467661692
YPL101W	1.7	3.6	54	0.118161925602
YKL095W	3.4	5.2	33	0.118279569892
YIL094C	3.7	11.2	56	0.150537634409
YLR451W	2.5	5.2	144	0.162344983089
YIL076W	5.0	13.8	42	0.141414141414
YOL044W	1.2	2.0	68	0.177083333333
YLR323C	1.4	2.5	37	0.142307692308
YOR085W	4.3	15.9	51	0.145299145299
YGL067W	4.8	10.7	76	0.197402597403
YNL087W	2.4	5.7	190	0.161153519932
YBR278W	6.4	8.4	22	0.108910891089
YNL024C-A	4.3	17.9	14	0.191780821918
YDR296W	4.0	5.8	22	0.0969162995595
YGL232W	4.2	12.8	46	0.158620689655
YPR091C	3.9	25.4	157	0.203631647211
YBR187W	2.1	4.1	51	0.181494661922
YMR198W	4.6	5.5	75	0.126050420168
YCR003W	3.5	4.5	38	0.20652173913
YMR163C	2.6	4.4	121	0.171388101983
YLR418C	2.7	5.0	69	0.175126903553
YER059W	6.0	5.9	78	0.185273159145
YPL153C	4.2	4.6	134	0.16301703163
YBL025W	4.4	3.7	21	0.143835616438
YOL066C	6.8	11.3	82	0.138513513514
YDR126W	3.5	4.6	54	0.160237388724
YGL167C	3.6	7.5	177	0.186119873817
YOR223W	6.3	15.9	34	0.116040955631
YEL022W	4.6	28.0	267	0.182876712329
YHR072W	2.3	5.5	109	0.148907103825
YDL074C	2.4	3.5	116	0.16547788873
YJL190C	3.7	24.0	22	0.167938931298
YMR218C	3.8	5.5	196	0.177697189483
YNL265C	4.2	8.4	47	0.157190635452
YNL230C	6.5	11.5	39	0.102631578947
YLL049W	8.8	30.1	35	0.194444444444
YPR166C	2.3	4.7	22	0.189655172414
YNL301C	3.7	6.3	28	0.149732620321
YMR058W	2.3	6.3	102	0.160125588697
YOR290C	10.8	38.5	299	0.175469483568
YKL114C	3.4	4.5	65	0.176630434783
YML024W	4.0	30.3	27	0.197080291971
YML093W	1.5	4.2	122	0.135555555556
YHR197W	1.5	4.8	140	0.183246073298
YDR276C	3.4	10.0	13	0.232142857143
YLR200W	2.8	7.4	8	0.0695652173913
YKR003W	3.9	7.4	66	0.146993318486
YLR107W	3.6	5.1	75	0.185185185185
YER175C	4.9	12.3	56	0.186666666667
YIR012W	2.0	6.9	63	0.145833333333
YGL107C	2.4	3.7	112	0.173106646059
YGR271C-A	1.4	2.0	28	0.119658119658
YMR272C	2.3	5.3	66	0.171428571429
YPR108W	6.9	20.7	67	0.155813953488
YGR162W	1.4	4.7	147	0.154249737671
YDL165W	2.9	7.6	27	0.140625
YJR051W	3.1	9.0	86	0.171314741036
YKL164C	2.3	3.9	53	0.154970760234
YJR135C	2.3	3.6	38	0.158333333333
YGL213C	2.4	5.0	79	0.198492462312
YMR076C	4.5	41.2	239	0.187010954617
YMR183C	3.8	8.4	32	0.108108108108
YNL027W	4.0	5.5	152	0.223858615611
YLR291C	2.1	4.7	78	0.204188481675
YIL122W	2.1	3.3	46	0.130681818182
YJR113C	4.1	5.2	12	0.0483870967742
YGL075C	4.9	8.8	57	0.146907216495
YHR041C	1.9	7.0	11	0.0521327014218
YGR097W	2.5	9.8	231	0.20139494333
YIL068C	3.4	6.9	131	0.16253101737
YCL025C	1.0	2.8	116	0.182965299685
YNL282W	3.4	10.6	19	0.0969387755102
YBR286W	8.3	30.0	88	0.163568773234
YGL144C	1.9	3.1	115	0.167638483965
YDR190C	2.5	6.5	72	0.155172413793
YAL031C	3.3	6.9	123	0.161629434954
YBL006C	2.5	4.5	21	0.116022099448
YGR108W	1.0	1.9	74	0.156779661017
YBR264C	3.5	4.9	28	0.14
YBR166C	2.3	4.9	84	0.185430463576
YDR462W	6.5	11.7	12	0.0810810810811
YJL148W	1.1	1.5	43	0.183760683761
YPL055C	2.5	5.5	49	0.147147147147
YIL148W	4.8	20.9	20	0.15503875969
YNR016C	3.2	28.6	390	0.174574753805
YFR036W	2.0	4.0	11	0.088
YGR028W	2.5	4.5	59	0.162534435262
YNL279W	7.1	37.3	94	0.141993957704
YDR400W	3.2	5.2	58	0.17008797654
YPL120W	7.4	15.3	94	0.168458781362
YDR005C	3.5	5.1	94	0.237373737374
YMR311C	4.4	8.3	23	0.1
YBL039C	1.6	9.3	94	0.162068965517
YOR362C	4.3	12.8	45	0.155709342561
YPR106W	6.6	9.6	87	0.195945945946
YLR126C	4.3	12.2	30	0.119047619048
YDL053C	4.2	11.1	35	0.188172043011
YML074C	12.9	22.5	50	0.121359223301
YKR062W	3.1	6.3	59	0.179331306991
YER010C	3.6	11.1	33	0.140425531915
YMR097C	7.5	14.8	57	0.154891304348
YDL133W	4.0	5.1	76	0.173515981735
YOR131C	8.1	10.3	29	0.132420091324
YGL249W	21.4	51.9	116	0.164539007092
YOR257W	10.4	14.0	23	0.141975308642
YGR002C	6.9	8.6	67	0.140461215933
YEL041W	8.1	13.2	75	0.151209677419
YGR075C	1.9	3.3	41	0.168724279835
YGR253C	4.6	12.5	28	0.107279693487
YDR510W	5.3	11.3	14	0.137254901961
YPL050C	2.3	3.6	63	0.159090909091
YPR045C	7.9	21.5	91	0.193205944798
YLR148W	4.1	32.5	150	0.163220892274
YHR042W	3.3	13.2	80	0.115606936416
YDL082W	2.6	8.1	33	0.165
YKL155C	1.0	3.2	101	0.160572337043
YBR162W-A	4.5	13.0	9	0.136363636364
YDR148C	4.4	17.1	79	0.17025862069
YPL096W	3.8	6.6	65	0.178571428571
YPR141C	2.4	2.7	125	0.171232876712
YMR039C	3.2	4.9	36	0.122866894198
YLL011W	0.7	1.4	101	0.20612244898
YCR077C	2.7	6.4	110	0.138017565872
YLR437C	3.2	5.3	12	0.089552238806
YDR237W	3.6	5.3	40	0.136518771331
YJL110C	2.0	3.2	107	0.19384057971
YBR001C	17.8	40.1	153	0.19590268886
YKL108W	3.9	5.0	62	0.136563876652
YGR110W	2.3	3.5	84	0.188340807175
YJR074W	3.7	11.0	19	0.0867579908676
YPR127W	4.4	11.7	52	0.150289017341
YDL148C	1.8	4.5	121	0.149198520345
YAL012W	5.5	55.9	40	0.101265822785
YMR288W	1.9	4.6	154	0.158436213992
YIL156W	3.6	7.4	177	0.165111940299
YKL006W	2.8	12.4	22	0.158273381295
YPL156C	2.4	3.2	42	0.147368421053
YOR153W	2.9	42.4	298	0.19708994709
YDR099W	6.1	29.4	42	0.153284671533
YKL188C	11.5	46.2	152	0.177985948478
YHR170W	1.7	3.6	93	0.179190751445
YDR177W	9.1	20.4	26	0.12037037037
YKL068W	2.0	3.8	192	0.2
YMR002W	1.9	3.6	20	0.127388535032
YLR145W	3.4	5.0	19	0.0940594059406
YER081W	3.6	52.8	95	0.202127659574
YFR011C	2.4	4.1	25	0.146198830409
YIL074C	2.5	6.0	88	0.187234042553
YGR056W	2.4	3.5	172	0.185145317546
YGL065C	3.3	8.1	95	0.188492063492
YOR052C	15.8	27.3	29	0.192052980132
YPL078C	4.8	10.2	43	0.175510204082
YGR116W	4.4	38.4	232	0.159779614325
YOL159C	3.9	6.8	45	0.261627906977
YBR185C	2.6	3.9	47	0.168458781362
YDR019C	2.2	6.3	46	0.114713216958
YER119C	7.5	27.4	52	0.115812917595
YDR499W	4.9	6.6	115	0.153743315508
YCR054C	1.9	3.7	102	0.18085106383
YDL215C	7.1	47.0	214	0.195791399817
YDR110W	3.9	6.7	94	0.165784832451
YDR419W	1.3	2.2	111	0.175355450237
YPL214C	4.4	17.5	89	0.164510166359
YOL064C	2.4	5.5	60	0.167597765363
YBL023C	2.6	6.5	147	0.16915995397
YOR274W	3.5	5.8	72	0.167832167832
YOR329C	4.8	7.2	159	0.182130584192
YLR005W	3.3	6.3	83	0.179653679654
YJL143W	3.3	8.0	32	0.201257861635
YJL044C	3.7	5.4	73	0.159041394336
YPR164W	4.4	22.0	262	0.186079545455
YML026C	3.0	8.8	24	0.163265306122
YPR066W	3.6	2.6	46	0.153333333333
YDR229W	4.7	6.7	58	0.127753303965
YER177W	7.8	15.5	36	0.134328358209
YML048W	3.3	6.4	76	0.188118811881
YHR006W	4.8	8.4	79	0.145756457565
YGL126W	4.7	12.8	24	0.0629921259843
YLR167W	5.1	16.0	23	0.150326797386
YMR270C	3.8	4.8	48	0.131147540984
YLR293C	4.8	22.0	30	0.136363636364
YLR228C	3.9	6.8	141	0.173006134969
YJR053W	3.9	4.0	101	0.175652173913
YJL171C	3.9	13.0	92	0.231738035264
YPL031C	4.8	8.5	34	0.111111111111
YKL021C	2.0	3.4	93	0.19829424307
YDL167C	1.2	2.8	181	0.251388888889
YLR388W	4.2	11.9	8	0.140350877193
YLR373C	4.1	7.9	170	0.188470066519
YKR054C	10.0	24.0	740	0.180796481798
YIR034C	4.0	21.9	59	0.157754010695
YGL013C	3.9	10.2	198	0.185219831618
YJR068W	3.6	7.0	53	0.149717514124
YGR207C	4.7	11.0	42	0.160305343511
YDR212W	3.1	11.2	108	0.192857142857
YNL052W	4.5	10.0	25	0.162337662338
YGR091W	3.5	5.3	67	0.135353535354
YJR148W	7.2	53.0	64	0.16976127321
YJR082C	4.6	12.3	19	0.166666666667
YOL087C	5.9	10.8	183	0.163831692032
YNL134C	8.2	32.2	44	0.116710875332
YBR262C	2.0	4.1	11	0.102803738318
YDL209C	0.9	1.8	56	0.164705882353
YIL051C	8.5	27.3	26	0.178082191781
YPL057C	2.7	3.6	72	0.187989556136
YNR010W	15.0	21.3	28	0.186666666667
YDR365C	2.0	4.8	108	0.171701112878
YNL169C	2.5	3.9	93	0.185628742515
YFR034C	2.0	3.4	29	0.0926517571885
YHR070W	3.1	7.7	42	0.084
YDR460W	4.0	5.2	36	0.111801242236
YNL112W	2.1	5.4	93	0.170018281536
YHL047C	4.3	8.6	103	0.165861513688
YOR360C	3.6	4.7	93	0.176470588235
YOR335C	2.3	31.6	179	0.186652763295
YGL251C	3.9	7.1	212	0.178451178451
YOR095C	2.4	5.2	40	0.15444015444
YEL038W	4.6	9.5	35	0.15350877193
YCL014W	3.6	15.0	273	0.166768478925
YOL025W	4.1	7.1	113	0.170953101362
YPL208W	3.4	7.4	99	0.169520547945
YOL147C	3.4	5.8	23	0.0970464135021
YNL280C	3.6	8.7	70	0.159453302961
YDR007W	5.3	12.8	37	0.164444444444
YBR233W	4.6	7.6	63	0.152173913043
YPL122C	2.2	5.3	87	0.169260700389
YMR313C	2.4	3.7	111	0.172628304821
YGL179C	7.4	10.2	89	0.158645276292
YGR120C	2.2	3.2	35	0.133079847909
YML001W	4.6	8.3	39	0.186602870813
YER016W	2.4	6.6	47	0.136231884058
YHR061C	2.6	4.4	51	0.161904761905
YDR386W	3.7	5.7	106	0.167456556082
YLR026C	2.3	3.9	34	0.099706744868
YJR065C	8.0	17.9	73	0.162222222222
YDL131W	2.9	8.4	61	0.138321995465
YMR095C	3.3	8.0	38	0.168888888889
YMR255W	4.7	10.0	28	0.148148148148
YHR209W	4.5	14.9	62	0.212328767123
YGL247W	8.4	27.0	44	0.222222222222
YPL233W	2.1	4.6	17	0.0783410138249
YOR063W	4.6	17.6	62	0.159793814433
YGR251W	2.0	2.7	30	0.152284263959
YPR047W	6.7	8.0	79	0.168085106383
YDR044W	2.3	7.1	54	0.164133738602
YEL016C	2.8	3.8	75	0.151821862348
YPL215W	3.6	4.9	55	0.16369047619
YMR139W	5.3	9.6	55	0.148247978437
YDL080C	3.9	5.1	90	0.147540983607
YOR172W	4.1	10.5	150	0.190597204574
YPR143W	1.1	1.8	31	0.123505976096
YNL322C	7.3	28.3	59	0.187898089172
YPL090C	3.7	10.8	27	0.113924050633
YCR075C	4.8	8.5	34	0.130268199234
YNL197C	7.3	13.8	122	0.184290030211
