Gene	PolyAHL	HL	UWCounts	UWFrac
YLR295C	3.7	7.7	44	0.117647058824
YHR168W	2.1	3.7	206	0.132390745501
YOR064C	3.4	4.2	88	0.133535660091
YOR130C	2.3	4.5	148	0.168564920273
YGL148W	3.7	9.7	106	0.0938053097345
YBR282W	4.2	8.3	74	0.168181818182
YDR194C	4.1	4.4	340	0.170511534604
YGR084C	2.7	4.1	152	0.149165848871
YNR030W	4.0	10.3	318	0.192145015106
YDR466W	5.2	11.2	413	0.153189910979
YIL002C	4.8	14.5	513	0.180633802817
YGR159C	0.9	2.8	134	0.107717041801
YLR369W	4.3	6.4	307	0.155600608211
YGL228W	4.9	8.3	236	0.136180034622
YJR117W	15.6	26.9	242	0.177810433505
YLR357W	3.7	4.0	367	0.137504683402
YER127W	1.5	2.7	121	0.112767940354
YBL015W	4.0	9.7	190	0.120253164557
YLR017W	3.7	7.5	157	0.154985192498
YHR110W	5.0	10.9	90	0.141065830721
YBR041W	6.1	6.8	389	0.193628670981
YDL039C	2.8	3.9	304	0.145038167939
YOR264W	3.6	5.2	180	0.139318885449
YBL029C-A	4.1	7.2	46	0.161971830986
YGL173C	4.3	24.0	785	0.17117313563
YAR015W	2.9	5.2	114	0.123913043478
YOR384W	6.3	9.6	321	0.154030710173
YDR427W	6.9	44.8	228	0.193056731583
YLR079W	3.5	3.8	92	0.107728337237
YLR408C	6.0	5.8	51	0.138586956522
YMR093W	0.9	1.8	246	0.159636599611
YKR066C	10.3	41.6	127	0.117050691244
YDR079W	3.7	5.7	61	0.182089552239
YPR072W	4.3	9.7	238	0.141498216409
YER062C	2.5	11.6	96	0.127659574468
YDR244W	11.1	27.3	251	0.136561479869
YDL137W	5.9	11.6	80	0.146788990826
YGR271W	5.3	43.7	1029	0.174318143317
YDR233C	3.0	6.7	138	0.155580608794
YCR106W	2.9	3.1	448	0.17934347478
YER109C	1.2	3.4	316	0.131721550646
YDR489W	3.8	14.6	132	0.149321266968
YPR049C	3.6	7.1	589	0.16657239819
YPL235W	4.0	7.1	218	0.15406360424
YBL087C	4.8	30.1	49	0.118644067797
YGL190C	6.5	6.7	267	0.168987341772
YBR110W	2.3	4.8	263	0.194959229059
YDR144C	1.8	3.7	294	0.164245810056
YOR103C	4.5	5.9	95	0.242346938776
YKL137W	3.8	4.8	40	0.119402985075
YDR447C	4.3	16.2	58	0.141463414634
YPR145W	1.7	4.4	236	0.13736903376
YJL063C	2.6	4.9	71	0.0991620111732
YMR149W	4.1	6.9	143	0.166279069767
YIR010W	4.4	6.3	189	0.109248554913
YDR331W	3.5	4.4	205	0.165991902834
YKR044W	2.4	4.3	179	0.134485349361
YLR433C	2.8	8.6	275	0.165562913907
YMR068W	7.2	10.2	161	0.12578125
YNL164C	1.0	1.6	146	0.138388625592
YER032W	3.3	3.6	349	0.132699619772
YJR070C	2.0	3.6	109	0.111566018424
YGL005C	3.9	5.4	145	0.172824791418
YIR024C	2.8	6.1	90	0.138461538462
YDL111C	2.1	4.4	133	0.166875784191
YKL159C	4.9	14.2	95	0.149606299213
YDR507C	2.1	4.9	461	0.134480746791
YLR138W	3.3	5.6	431	0.145755833615
YJL158C	2.4	9.5	90	0.1317715959
YBR245C	2.1	15.6	513	0.151372086161
YBR210W	4.8	5.9	91	0.21261682243
YIL103W	2.1	2.6	201	0.157400156617
YJR096W	16.3	36.6	125	0.147405660377
YAL010C	2.3	5.8	278	0.187711006077
YGR143W	3.9	6.4	390	0.168466522678
YGR112W	3.6	6.3	146	0.124893071001
YLR256W	2.8	10.1	627	0.13908606921
YLR192C	5.2	10.0	92	0.115432873275
YDL213C	4.1	8.0	61	0.0901033973412
YMR230W	5.0	28.8	46	0.145110410095
YLR321C	2.3	3.8	168	0.13125
YBR004C	1.1	2.4	324	0.249039200615
YJR161C	2.5	19.6	214	0.185925282363
YOR278W	4.3	8.1	133	0.160822249093
YGL061C	2.3	2.3	103	0.138627187079
YPL210C	3.4	6.7	320	0.166493236212
YOR087W	2.6	4.2	366	0.180562407499
YGL234W	3.1	49.9	324	0.134551495017
YPR093C	8.1	23.3	102	0.117782909931
YAL029C	3.1	22.0	697	0.157870894677
YOL155C	6.2	6.5	358	0.123320702721
YDR421W	4.3	21.7	415	0.145511921459
YGR186W	4.9	13.8	244	0.110557317626
YHR135C	3.4	5.7	189	0.116955445545
YBR181C	3.7	21.3	73	0.102816901408
YOR078W	1.3	2.5	63	0.0978260869565
YOR243C	1.2	3.4	322	0.158620689655
YMR165C	7.5	27.6	342	0.132148377125
YCR005C	2.1	3.6	220	0.159189580318
YMR005W	4.1	10.2	141	0.120926243568
YHR037W	4.6	16.4	273	0.158077591199
YLR032W	3.7	12.5	569	0.16215445996
YOL060C	4.9	12.8	264	0.124528301887
YNL232W	2.2	4.2	109	0.124145785877
YDL076C	2.8	3.7	143	0.161764705882
YDR120C	1.4	3.1	239	0.139602803738
YJL192C	4.2	8.8	131	0.186079545455
YLR009W	1.3	2.5	73	0.121869782972
YDR063W	6.5	11.4	64	0.142538975501
YLR105C	2.1	3.9	174	0.153574580759
YML091C	6.3	5.8	693	0.192073170732
YDL098C	1.9	5.0	94	0.16095890411
YMR143W	5.0	20.9	72	0.167053364269
YCR063W	1.2	3.0	33	0.0697674418605
YNL189W	9.2	58.9	259	0.159090909091
YCL047C	4.9	12.1	126	0.162371134021
YGL122C	1.9	5.9	174	0.110336081167
YDL018C	4.8	12.9	111	0.163958641064
YBL060W	3.4	5.0	323	0.156568104702
YKL056C	5.1	23.9	65	0.129224652087
YJR057W	2.9	5.6	107	0.164615384615
YLR377C	8.2	17.6	146	0.139579349904
YAL059W	1.1	2.1	81	0.126959247649
YJR137C	4.1	28.6	752	0.173752310536
YMR074C	4.8	15.1	55	0.12585812357
YDR378C	3.5	7.8	41	0.157692307692
YOR104W	2.2	3.8	133	0.156839622642
YFL009W	3.9	7.5	391	0.167165455323
YLR297W	18.4	8.6	59	0.151670951157
YIL120W	6.1	18.0	315	0.18628030751
YNL021W	1.3	6.3	347	0.163679245283
YGR095C	2.7	4.2	96	0.143070044709
YOR066W	4.2	4.7	235	0.124404446797
YAL033W	2.0	4.2	63	0.120921305182
YNR049C	4.7	5.6	78	0.123417721519
YOL112W	2.7	3.4	221	0.149526387009
YOL083W	9.6	20.3	204	0.1647819063
YBL004W	2.6	10.6	1449	0.193690683064
YBR164C	3.1	6.4	97	0.176043557169
YHR074W	4.6	22.4	332	0.154850746269
YDR464W	2.7	5.5	488	0.113303923845
YFR030W	4.0	41.5	516	0.166076601223
YJL146W	10.3	12.9	217	0.154009936125
YKL078W	0.8	1.8	344	0.155867693702
YPL053C	2.9	6.4	233	0.173880597015
YLR351C	6.3	22.4	119	0.136
YIL030C	2.7	7.5	762	0.192472846678
YER125W	4.6	20.6	375	0.154384520379
YER152C	4.5	23.3	138	0.103681442524
YLR015W	2.0	4.3	206	0.135794330916
YHR116W	3.9	8.8	38	0.0835164835165
YPL259C	4.0	5.3	228	0.159775753329
YDL037C	2.7	5.1	173	0.175456389452
YHL043W	6.8	8.9	90	0.17578125
YPR198W	3.4	8.1	344	0.210913549969
YDR425W	24.6	38.6	300	0.159829515184
YML076C	2.5	3.9	461	0.162667607622
YKR060W	1.1	1.4	131	0.158980582524
YHR094C	1.9	3.6	318	0.185747663551
YER069W	1.9	13.4	410	0.158240061752
YER012W	4.6	8.5	99	0.16610738255
YHR098C	3.5	13.8	478	0.17138759412
YDL135C	4.6	18.0	86	0.141447368421
YCR093W	8.9	46.7	1187	0.187638318052
YBR069C	3.7	5.5	307	0.165142549758
YGR077C	4.3	7.7	314	0.177501413228
YDR512C	4.8	10.3	82	0.145648312611
YGR255C	7.8	16.8	258	0.179291174427
YDL051W	3.3	10.4	101	0.122128174123
YBL102W	4.3	8.5	110	0.170015455951
YLR120C	2.3	6.0	289	0.169104739614
YNL068C	2.0	5.5	338	0.130602782071
YJR080C	2.6	4.4	184	0.155405405405
YDR146C	3.7	3.9	293	0.137623297323
YBR112C	2.5	8.2	305	0.105172413793
YNL326C	2.0	2.7	191	0.189108910891
YDR337W	3.4	4.7	125	0.145348837209
YJL061W	2.3	5.6	371	0.173283512377
YDR441C	2.2	4.1	94	0.17247706422
YPL094C	2.6	4.9	117	0.141990291262
YOR101W	1.4	2.4	129	0.138858988159
YER020W	3.7	6.5	141	0.10452186805
YDR231C	4.1	6.9	56	0.0907617504052
YJL112W	4.3	6.4	316	0.147388059701
YML058W	4.7	10.3	36	0.114649681529
YBR188C	2.3	5.1	52	0.123222748815
YLR435W	1.2	2.0	88	0.14262560778
YJR076C	3.7	7.9	159	0.127506014435
YBR003W	6.6	7.9	221	0.155524278677
YOL140W	1.2	3.6	199	0.156569630212
YPR129W	4.6	6.8	116	0.110581506196
YDL113C	7.9	25.1	285	0.148283038502
YMR135C	6.4	10.3	180	0.13167520117
YBR247C	1.6	3.4	217	0.149552033081
YLR185W	4.4	38.1	34	0.127819548872
YJL210W	2.7	5.3	119	0.146012269939
YKL004W	1.3	3.7	246	0.204149377593
YPL101W	1.7	3.6	166	0.121167883212
YKL095W	3.4	5.2	87	0.104066985646
YIL094C	3.7	11.2	158	0.141704035874
YLR451W	2.5	5.2	407	0.153007518797
YIL076W	5.0	13.8	151	0.169662921348
YOL044W	1.2	2.0	197	0.171155516942
YLR323C	1.4	2.5	89	0.114249037227
YOR085W	4.3	15.9	168	0.15969581749
YGL067W	4.8	10.7	200	0.173310225303
YNL087W	2.4	5.7	567	0.160350678733
YBR278W	6.4	8.4	70	0.115702479339
YNL024C-A	4.3	17.9	42	0.192660550459
YDR296W	4.0	5.8	71	0.104411764706
YGL232W	4.2	12.8	126	0.14499424626
YPR091C	3.9	25.4	372	0.160899653979
YBR187W	2.1	4.1	144	0.171021377672
YMR198W	4.6	5.5	235	0.131726457399
YCR003W	3.5	4.5	85	0.154264972777
YMR163C	2.6	4.4	364	0.171941426547
YLR418C	2.7	5.0	180	0.152413209145
YER059W	6.0	5.9	181	0.143423137876
YPL153C	4.2	4.6	366	0.148478701826
YBL025W	4.4	3.7	62	0.141876430206
YOL066C	6.8	11.3	221	0.124507042254
YDR126W	3.5	4.6	175	0.173267326733
YGL167C	3.6	7.5	481	0.168653576438
YOR223W	6.3	15.9	113	0.128701594533
YEL022W	4.6	28.0	790	0.180406485499
YHR072W	2.3	5.5	341	0.155353075171
YDL074C	2.4	3.5	309	0.147002854424
YJL190C	3.7	24.0	63	0.160714285714
YMR218C	3.8	5.5	620	0.187424425635
YNL265C	4.2	8.4	121	0.135044642857
YNL230C	6.5	11.5	133	0.116769095698
YLL049W	8.8	30.1	103	0.191094619666
YPR166C	2.3	4.7	59	0.170028818444
YNL301C	3.7	6.3	69	0.123214285714
YMR058W	2.3	6.3	264	0.138219895288
YOR290C	10.8	38.5	762	0.149090197613
YKL114C	3.4	4.5	174	0.157751586582
YML024W	4.0	30.3	61	0.148780487805
YML093W	1.5	4.2	278	0.103001111523
YHR197W	1.5	4.8	414	0.180707114797
YDR276C	3.4	10.0	39	0.233532934132
YLR200W	2.8	7.4	42	0.122093023256
YKR003W	3.9	7.4	203	0.150817236256
YLR107W	3.6	5.1	207	0.170510708402
YER175C	4.9	12.3	140	0.155728587319
YIR012W	2.0	6.9	180	0.138996138996
YGL107C	2.4	3.7	321	0.165463917526
YGR271C-A	1.4	2.0	104	0.148359486448
YMR272C	2.3	5.3	198	0.17157712305
YPR108W	6.9	20.7	202	0.156710628394
YGR162W	1.4	4.7	318	0.111266620014
YDL165W	2.9	7.6	90	0.15652173913
YJR051W	3.1	9.0	228	0.151495016611
YKL164C	2.3	3.9	112	0.109268292683
YJR135C	2.3	3.6	108	0.150208623088
YGL213C	2.4	5.0	204	0.170997485331
YMR076C	4.5	41.2	695	0.181320114793
YMR183C	3.8	8.4	96	0.108229988726
YNL027W	4.0	5.5	313	0.15373280943
YLR291C	2.1	4.7	203	0.177292576419
YIL122W	2.1	3.3	117	0.110900473934
YJR113C	4.1	5.2	50	0.0672947510094
YGL075C	4.9	8.8	177	0.152192605331
YHR041C	1.9	7.0	45	0.0712025316456
YGR097W	2.5	9.8	502	0.145930232558
YIL068C	3.4	6.9	409	0.169218038891
YCL025C	1.0	2.8	310	0.163072067333
YNL282W	3.4	10.6	66	0.112436115843
YBR286W	8.3	30.0	240	0.148791072536
YGL144C	1.9	3.1	338	0.164316966456
YDR190C	2.5	6.5	209	0.150251617541
YAL031C	3.3	6.9	331	0.14504820333
YBL006C	2.5	4.5	61	0.112546125461
YGR108W	1.0	1.9	212	0.149823321555
YBR264C	3.5	4.9	75	0.125208681135
YBR166C	2.3	4.9	235	0.173048600884
YDR462W	6.5	11.7	41	0.0925507900677
YJL148W	1.1	1.5	91	0.129814550642
YPL055C	2.5	5.5	109	0.109218436874
YIL148W	4.8	20.9	50	0.129533678756
YNR016C	3.2	28.6	1011	0.150873004029
YFR036W	2.0	4.0	23	0.0614973262032
YGR028W	2.5	4.5	182	0.167279411765
YNL279W	7.1	37.3	281	0.141561712846
YDR400W	3.2	5.2	177	0.173189823875
YPL120W	7.4	15.3	258	0.15421398685
YDR005C	3.5	5.1	202	0.170176916596
YMR311C	4.4	8.3	64	0.0928882438316
YBL039C	1.6	9.3	264	0.151811385854
YOR362C	4.3	12.8	110	0.127020785219
YPR106W	6.6	9.6	240	0.180315552216
YLR126C	4.3	12.2	105	0.139072847682
YDL053C	4.2	11.1	66	0.118491921005
YML074C	12.9	22.5	132	0.106882591093
YKR062W	3.1	6.3	137	0.138945233266
YER010C	3.6	11.1	108	0.153409090909
YMR097C	7.5	14.8	172	0.155938349955
YDL133W	4.0	5.1	210	0.15993907083
YOR131C	8.1	10.3	100	0.15243902439
YGL249W	21.4	51.9	352	0.166508987701
YOR257W	10.4	14.0	81	0.167010309278
YGR002C	6.9	8.6	188	0.131468531469
YEL041W	8.1	13.2	236	0.158708809684
YGR075C	1.9	3.3	126	0.173076923077
YGR253C	4.6	12.5	103	0.131713554987
YDR510W	5.3	11.3	34	0.111475409836
YPL050C	2.3	3.6	196	0.165122156698
YPR045C	7.9	21.5	231	0.163597733711
YLR148W	4.1	32.5	479	0.173802612482
YHR042W	3.3	13.2	250	0.120481927711
YDL082W	2.6	8.1	76	0.126878130217
YKL155C	1.0	3.2	283	0.150053022269
YBR162W-A	4.5	13.0	27	0.137055837563
YDR148C	4.4	17.1	190	0.136592379583
YPL096W	3.8	6.6	164	0.150320806599
YPR141C	2.4	2.7	320	0.146185472819
YMR039C	3.2	4.9	84	0.0956719817768
YLL011W	0.7	1.4	219	0.149081007488
YCR077C	2.7	6.4	303	0.126778242678
YLR437C	3.2	5.3	30	0.074812967581
YDR237W	3.6	5.3	121	0.137813211845
YJL110C	2.0	3.2	230	0.138972809668
YBR001C	17.8	40.1	390	0.166524338173
YKL108W	3.9	5.0	158	0.116091109478
YGR110W	2.3	3.5	233	0.174270755423
YJR074W	3.7	11.0	66	0.100609756098
YPR127W	4.4	11.7	154	0.148505303761
YDL148C	1.8	4.5	347	0.142680921053
YAL012W	5.5	55.9	119	0.100506756757
YMR288W	1.9	4.6	484	0.166037735849
YIL156W	3.6	7.4	492	0.153032659409
YKL006W	2.8	12.4	56	0.134615384615
YPL156C	2.4	3.2	131	0.153395784543
YOR153W	2.9	42.4	797	0.175744211687
YDR099W	6.1	29.4	113	0.137637028015
YKL188C	11.5	46.2	432	0.16868410777
YHR170W	1.7	3.6	236	0.151670951157
YDR177W	9.1	20.4	86	0.132921174652
YKL068W	2.0	3.8	430	0.149357415769
YMR002W	1.9	3.6	46	0.0978723404255
YLR145W	3.4	5.0	82	0.135537190083
YER081W	3.6	52.8	231	0.163946061036
YFR011C	2.4	4.1	71	0.138671875
YIL074C	2.5	6.0	219	0.155429382541
YGR056W	2.4	3.5	450	0.16152189519
YGL065C	3.3	8.1	300	0.198544010589
YOR052C	15.8	27.3	53	0.117256637168
YPL078C	4.8	10.2	117	0.159400544959
YGR116W	4.4	38.4	628	0.14420206659
YOL159C	3.9	6.8	111	0.215533980583
YBR185C	2.6	3.9	153	0.183014354067
YDR019C	2.2	6.3	171	0.142262895175
YER119C	7.5	27.4	195	0.144873699851
YDR499W	4.9	6.6	379	0.168970129291
YCR054C	1.9	3.7	308	0.182140745121
YDL215C	7.1	47.0	592	0.180597925564
YDR110W	3.9	6.7	260	0.152941176471
YDR419W	1.3	2.2	300	0.158061116965
YPL214C	4.4	17.5	243	0.149815043157
YOL064C	2.4	5.5	170	0.158434296365
YBL023C	2.6	6.5	383	0.146968534152
YOR274W	3.5	5.8	185	0.143856920684
YOR329C	4.8	7.2	362	0.138273491215
YLR005W	3.3	6.3	205	0.148014440433
YJL143W	3.3	8.0	73	0.153361344538
YJL044C	3.7	5.4	219	0.159156976744
YPR164W	4.4	22.0	792	0.187544399716
YML026C	3.0	8.8	65	0.147727272727
YPR066W	3.6	2.6	132	0.146829810901
YDR229W	4.7	6.7	160	0.117560617193
YER177W	7.8	15.5	98	0.12204234122
YML048W	3.3	6.4	196	0.161849710983
YHR006W	4.8	8.4	210	0.129230769231
YGL126W	4.7	12.8	113	0.0989492119089
YLR167W	5.1	16.0	56	0.122270742358
YMR270C	3.8	4.8	151	0.137648131267
YLR293C	4.8	22.0	93	0.141122913505
YLR228C	3.9	6.8	362	0.148117839607
YJR053W	3.9	4.0	247	0.143271461717
YJL171C	3.9	13.0	209	0.175630252101
YPL031C	4.8	8.5	118	0.128680479826
YKL021C	2.0	3.4	237	0.168563300142
YDL167C	1.2	2.8	355	0.164427975915
YLR388W	4.2	11.9	20	0.117647058824
YLR373C	4.1	7.9	476	0.175970425139
YKR054C	10.0	24.0	2181	0.17763479394
YIR034C	4.0	21.9	160	0.14272970562
YGL013C	3.9	10.2	529	0.165003119152
YJR068W	3.6	7.0	168	0.158341187559
YGR207C	4.7	11.0	120	0.152866242038
YDR212W	3.1	11.2	276	0.164383561644
YNL052W	4.5	10.0	60	0.130151843818
YGR091W	3.5	5.3	211	0.14218328841
YJR148W	7.2	53.0	165	0.146017699115
YJR082C	4.6	12.3	43	0.126099706745
YOL087C	5.9	10.8	486	0.145074626866
YNL134C	8.2	32.2	155	0.137168141593
YBR262C	2.0	4.1	34	0.10625
YDL209C	0.9	1.8	146	0.143277723258
YIL051C	8.5	27.3	70	0.160183066362
YPL057C	2.7	3.6	213	0.185540069686
YNR010W	15.0	21.3	65	0.144766146993
YDR365C	2.0	4.8	241	0.127783669141
YNL169C	2.5	3.9	258	0.171770972037
YFR034C	2.0	3.4	70	0.0746268656716
YHR070W	3.1	7.7	153	0.102068045364
YDR460W	4.0	5.2	114	0.118134715026
YNL112W	2.1	5.4	222	0.135365853659
YHL047C	4.3	8.6	329	0.176691729323
YOR360C	3.6	4.7	275	0.174050632911
YOR335C	2.3	31.6	457	0.158901251739
YGL251C	3.9	7.1	590	0.165590794274
YOR095C	2.4	5.2	121	0.155927835052
YEL038W	4.6	9.5	98	0.143484626647
YCL014W	3.6	15.0	724	0.147454175153
YOL025W	4.1	7.1	348	0.175580221998
YPL208W	3.4	7.4	291	0.166190748144
YOL147C	3.4	5.8	98	0.138028169014
YNL280C	3.6	8.7	247	0.187689969605
YDR007W	5.3	12.8	101	0.149851632047
YBR233W	4.6	7.6	171	0.137792103143
YPL122C	2.2	5.3	257	0.166774821544
YMR313C	2.4	3.7	346	0.179460580913
YGL179C	7.4	10.2	258	0.15338882283
YGR120C	2.2	3.2	121	0.153553299492
YML001W	4.6	8.3	100	0.159744408946
YER016W	2.4	6.6	137	0.13249516441
YHR061C	2.6	4.4	116	0.122881355932
YDR386W	3.7	5.7	292	0.153846153846
YLR026C	2.3	3.9	127	0.124266144814
YJR065C	8.0	17.9	192	0.142327650111
YDL131W	2.9	8.4	162	0.122541603631
YMR095C	3.3	8.0	114	0.169139465875
YMR255W	4.7	10.0	58	0.102473498233
YHR209W	4.5	14.9	166	0.189714285714
YGL247W	8.4	27.0	117	0.197301854975
YPL233W	2.1	4.6	68	0.104615384615
YOR063W	4.6	17.6	144	0.123817712812
YGR251W	2.0	2.7	71	0.120338983051
YPR047W	6.7	8.0	218	0.154719659333
YDR044W	2.3	7.1	137	0.138945233266
YEL016C	2.8	3.8	228	0.153950033761
YPL215W	3.6	4.9	168	0.166832174777
YMR139W	5.3	9.6	173	0.155575539568
YDL080C	3.9	5.1	276	0.150902132313
YOR172W	4.1	10.5	424	0.179661016949
YPR143W	1.1	1.8	81	0.107712765957
YNL322C	7.3	28.3	127	0.134962805526
YPL090C	3.7	10.8	76	0.107042253521
YCR075C	4.8	8.5	121	0.154731457801
